Sat,Lat,Lon,Alt,Date
14,-38.1764605844,144.2002522673,19923646.3416382372,2019-06-10T00:29:15Z
15,-9.6039243495,-86.3197708047,20014698.7262459248,2019-06-10T00:29:15Z
16,55.0365833501,123.3937932993,19996651.6770902947,2019-06-10T00:29:15Z
17,-52.0137572787,-12.3266459236,19860967.5299189016,2019-06-10T00:29:15Z
18,-48.2584202958,111.1267098974,20531613.0957055427,2019-06-10T00:29:15Z
19,-41.3923659000,-31.8907215420,20414719.9166040272,2019-06-10T00:29:15Z
20,-12.8488130699,-150.3585981591,20287619.5838036388,2019-06-10T00:29:15Z
21,34.6178114946,-167.3939226412,20568297.7712712586,2019-06-10T00:29:15Z
22,-37.5379673933,77.3025571702,20078026.9089359157,2019-06-10T00:29:15Z
23,27.7983855993,82.8022094625,20157665.4063592367,2019-06-10T00:29:15Z
24,-52.8319881836,-91.1938657366,20289044.7422808036,2019-06-10T00:29:15Z
25,-3.1621332096,-131.3036609551,20331718.9752671644,2019-06-10T00:29:15Z
26,50.7142054883,164.4001535141,20208096.7586400360,2019-06-10T00:29:15Z
27,17.9157801116,118.7833015825,19996004.1267657317,2019-06-10T00:29:15Z
28,-33.2023391693,25.6607218501,19814286.0180434920,2019-06-10T00:29:15Z
29,44.0372476078,-109.6725359705,20165793.6485254988,2019-06-10T00:29:15Z
30,20.8421967992,4.8752148779,20289970.8965889327,2019-06-10T00:29:15Z
31,3.8308993105,165.3224656072,20425594.6807941124,2019-06-10T00:29:15Z
32,-49.7225336751,162.1550785683,20123174.8888135999,2019-06-10T00:29:15Z
1,-55.9695189915,76.8532093547,20350022.9420678243,2019-06-10T00:29:30Z
2,28.3112358912,-39.6665406690,20399681.0292306878,2019-06-10T00:29:30Z
3,-24.0755808799,64.4263762368,20246039.0544533059,2019-06-10T00:29:30Z
4,54.7162402759,26.7368786441,20208549.6584309749,2019-06-10T00:29:30Z
5,53.5525153394,-59.9289071088,20080942.7195666581,2019-06-10T00:29:30Z
6,0.2523404997,-13.9999303461,20201194.7926070057,2019-06-10T00:29:30Z
7,41.5817069705,25.8808334886,20520891.7155925222,2019-06-10T00:29:30Z
8,-6.9978765373,100.7037509437,20067051.4170531742,2019-06-10T00:29:30Z
9,48.3633628792,52.4272167688,20162768.8275163248,2019-06-10T00:29:30Z
10,-33.5637896068,-161.2874297487,20233870.0340701975,2019-06-10T00:29:30Z
11,-44.6921147361,90.5855844368,20630057.6274345815,2019-06-10T00:29:30Z
12,-28.1436437794,-108.9706179912,20364913.4837785996,2019-06-10T00:29:30Z
13,8.9320951582,-60.4249394236,20139084.8764996752,2019-06-10T00:29:30Z
14,-38.2640112350,144.2562296473,19923463.8993819654,2019-06-10T00:29:30Z
15,-9.5029823611,-86.3041653328,20014135.9931972101,2019-06-10T00:29:30Z
16,55.0689494351,123.5457097635,19997117.3561193347,2019-06-10T00:29:30Z
17,-52.0699859073,-12.2015671319,19860847.3976609185,2019-06-10T00:29:30Z
18,-48.1974765955,111.2229048328,20531088.2048562691,2019-06-10T00:29:30Z
19,-41.4752493927,-31.8317646284,20415018.4831386209,2019-06-10T00:29:30Z
20,-12.7503421871,-150.3431708256,20287481.9989135489,2019-06-10T00:29:30Z
21,34.7039015762,-167.3518266363,20569471.4660867304,2019-06-10T00:29:30Z
22,-37.6206835649,77.3604829375,20077716.0438365750,2019-06-10T00:29:30Z
23,27.7043060775,82.8336761825,20156866.9896511286,2019-06-10T00:29:30Z
24,-52.8051595839,-91.0556244652,20288598.0035553202,2019-06-10T00:29:30Z
25,-3.2644755878,-131.2960553093,20332086.6182247512,2019-06-10T00:29:30Z
26,50.6638396791,164.5182628210,20208292.9538683482,2019-06-10T00:29:30Z
27,18.0188726978,118.7990501757,19995976.1166683920,2019-06-10T00:29:30Z
28,-33.1057614216,25.7001227990,19815005.9449023195,2019-06-10T00:29:30Z
29,43.9566938574,-109.6013390850,20165791.3018602356,2019-06-10T00:29:30Z
30,20.9388850034,4.8964112795,20289928.6551705599,2019-06-10T00:29:30Z
31,3.7299975111,165.3306637848,20425636.1821302064,2019-06-10T00:29:30Z
32,-49.7796658437,162.2660867049,20123290.1929697655,2019-06-10T00:29:30Z
1,-55.9689490698,77.0117060644,20349629.6213250160,2019-06-10T00:29:45Z
2,28.2179828480,-39.6374613172,20398665.6553902328,2019-06-10T00:29:45Z
3,-24.1730373589,64.4492238555,20246074.6669928133,2019-06-10T00:29:45Z
4,54.7006419933,26.8890562759,20208545.1945812069,2019-06-10T00:29:45Z
5,53.5784564091,-59.7834334480,20081166.9406847507,2019-06-10T00:29:45Z
6,0.1485096676,-13.9924392252,20201117.7542636469,2019-06-10T00:29:45Z
7,41.6595518256,25.9442563582,20520722.7003527954,2019-06-10T00:29:45Z
8,-6.8937492705,100.7135970637,20067060.4052426443,2019-06-10T00:29:45Z
9,48.3017490593,52.5290999524,20162762.9709162526,2019-06-10T00:29:45Z
10,-33.4726835625,-161.2475543932,20234085.9691243768,2019-06-10T00:29:45Z
11,-44.6307033075,90.6698788868,20629889.4684595987,2019-06-10T00:29:45Z
12,-28.2398551939,-108.9450139726,20365151.5284894928,2019-06-10T00:29:45Z
13,9.0352255461,-60.4145047106,20138915.0645486787,2019-06-10T00:29:45Z
14,-38.3514430975,144.3124945276,19923282.7415610328,2019-06-10T00:29:45Z
15,-9.4020185576,-86.2886026159,20013574.1883429959,2019-06-10T00:29:45Z
16,55.1009364553,123.6979638215,19997583.8578342646,2019-06-10T00:29:45Z
17,-52.1259158812,-12.0760147282,19860728.7961412296,2019-06-10T00:29:45Z
18,-48.1363120169,111.3187280337,20530561.6479794346,2019-06-10T00:29:45Z
19,-41.5580023838,-31.7724994974,20415315.9567935467,2019-06-10T00:29:45Z
20,-12.6518472597,-150.3278033207,20287344.0259288326,2019-06-10T00:29:45Z
21,34.7898941074,-167.3095218623,20570643.3453271501,2019-06-10T00:29:45Z
22,-37.7032784596,77.4186797239,20077405.7036256343,2019-06-10T00:29:45Z
23,27.6101571015,82.8649865061,20156068.7331304848,2019-06-10T00:29:45Z
24,-52.7779911778,-90.9176256663,20288150.6968504637,2019-06-10T00:29:45Z
25,-3.3668102085,-131.2884372982,20332453.6804179922,2019-06-10T00:29:45Z
26,50.6131954781,164.6359812540,20208488.9751505479,2019-06-10T00:29:45Z
27,18.1219336968,118.8148906326,19995949.1213637292,2019-06-10T00:29:45Z
28,-33.0091057160,25.7392941886,19815727.7138025984,2019-06-10T00:29:45Z
29,43.8759840218,-109.5305046850,20165789.0339942016,2019-06-10T00:29:45Z
30,21.0355322976,4.9177161538,20289885.9986703023,2019-06-10T00:29:45Z
31,3.6290902926,165.3388454997,20425676.6644401401,2019-06-10T00:29:45Z
32,-49.8365372092,162.3775021684,20123405.7355003543,2019-06-10T00:29:45Z
1,-55.9679831467,77.1702005123,20349235.4377881512,2019-06-10T00:30:00Z
2,28.1246613860,-39.6085350002,20397649.2904330119,2019-06-10T00:30:00Z
3,-24.2704456019,64.4722017210,20246110.0655654669,2019-06-10T00:30:00Z
4,54.6846640199,27.0410669042,20208540.5438433625,2019-06-10T00:30:00Z
5,53.6040353094,-59.6377096526,20081391.5878584906,2019-06-10T00:30:00Z
6,0.0446780079,-13.9849483561,20201040.7570957020,2019-06-10T00:30:00Z
7,41.7372593304,26.0079854945,20520552.1093866751,2019-06-10T00:30:00Z
8,-6.7896110664,100.7234113203,20067070.0883086137,2019-06-10T00:30:00Z
9,48.2399009111,52.6305859732,20162757.1736765951,2019-06-10T00:30:00Z
10,-33.3814945002,-161.2078959569,20234301.6976423897,2019-06-10T00:30:00Z
11,-44.5691029052,90.7538642638,20629719.2176251709,2019-06-10T00:30:00Z
12,-28.3360078674,-108.9192523994,20365388.7754820697,2019-06-10T00:30:00Z
13,9.1383426797,-60.4040272701,20138745.5887028724,2019-06-10T00:30:00Z
14,-38.4387554932,144.3690481036,19923102.8686338440,2019-06-10T00:30:00Z
15,-9.3010331431,-86.2730821477,20013013.3146658689,2019-06-10T00:30:00Z
16,55.1325433948,123.8505523169,19998051.1797528081,2019-06-10T00:30:00Z
17,-52.1815458325,-11.9499891179,19860611.7256750166,2019-06-10T00:30:00Z
18,-48.0749275129,111.4141798417,20530033.4276972748,2019-06-10T00:30:00Z
19,-41.6406241855,-31.7129249423,20415612.3358068466,2019-06-10T00:30:00Z
20,-12.5533284852,-150.3124951273,20287205.6657175645,2019-06-10T00:30:00Z
21,34.8757886487,-167.2670074354,20571813.4034648351,2019-06-10T00:30:00Z
22,-37.7857514244,77.4771485406,20077095.8894022033,2019-06-10T00:30:00Z
23,27.5159390228,82.8961412187,20155270.6410550289,2019-06-10T00:30:00Z
24,-52.7504836852,-90.7798719178,20287702.8243865892,2019-06-10T00:30:00Z
25,-3.4691369206,-131.2808064682,20332820.1600783430,2019-06-10T00:30:00Z
26,50.5622739976,164.7533082333,20208684.8218133375,2019-06-10T00:30:00Z
27,18.2249628687,118.8308235882,19995923.1406616457,2019-06-10T00:30:00Z
28,-32.9123725660,25.7782371647,19816451.3214712366,2019-06-10T00:30:00Z
29,43.7951189600,-109.4600314677,20165786.8453611583,2019-06-10T00:30:00Z
30,21.1321384229,4.9391301457,20289842.9269597940,2019-06-10T00:30:00Z
31,3.5281778040,165.3470112010,20425716.1276010722,2019-06-10T00:30:00Z
32,-49.8931466414,162.4893248534,20123521.5155501068,2019-06-10T00:30:00Z
1,-55.9666212214,77.3286881885,20348840.3932725005,2019-06-10T00:30:15Z
2,28.0312718284,-39.5797609485,20396631.9393874407,2019-06-10T00:30:15Z
3,-24.3678053194,64.4953105635,20246145.2496311963,2019-06-10T00:30:15Z
4,54.6683068775,27.1929067522,20208535.7063198090,2019-06-10T00:30:15Z
5,53.6292512822,-59.4917387708,20081616.6598558947,2019-06-10T00:30:15Z
6,-0.0591543223,-13.9774572790,20200963.8014755063,2019-06-10T00:30:15Z
7,41.8148287771,26.0720219502,20520379.9430715069,2019-06-10T00:30:15Z
8,-6.6854621031,100.7331942051,20067080.4663304240,2019-06-10T00:30:15Z
9,48.1778195061,52.7316751530,20162751.4361491203,2019-06-10T00:30:15Z
10,-33.2902228896,-161.1684534314,20234517.2190346792,2019-06-10T00:30:15Z
11,-44.5073143129,90.8375409586,20629546.8759659827,2019-06-10T00:30:15Z
12,-28.4321014771,-108.8933324400,20365625.2232577316,2019-06-10T00:30:15Z
13,9.2414463782,-60.3935065989,20138576.4496166334,2019-06-10T00:30:15Z
14,-38.5259477397,144.4258915721,19922924.2810525894,2019-06-10T00:30:15Z
15,-9.2000263213,-86.2576034224,20012453.3751423806,2019-06-10T00:30:15Z
16,55.1637692468,124.0034720519,19998519.3193908483,2019-06-10T00:30:15Z
17,-52.2368743928,-11.8234907398,19860496.1865713634,2019-06-10T00:30:15Z
18,-48.0133240342,111.5092606128,20529503.5466407910,2019-06-10T00:30:15Z
19,-41.7231141068,-31.6530397554,20415907.6184221581,2019-06-10T00:30:15Z
20,-12.4547860607,-150.2972457294,20287066.9191482179,2019-06-10T00:30:15Z
21,34.9615847586,-167.2242824708,20572981.6349816546,2019-06-10T00:30:15Z
22,-37.8681018033,77.5358903987,20076786.6022631563,2019-06-10T00:30:15Z
23,27.4216521915,82.9271411035,20154472.7176819295,2019-06-10T00:30:15Z
24,-52.7226378331,-90.6423657723,20287254.3883886412,2019-06-10T00:30:15Z
25,-3.5714555727,-131.2731623656,20333186.0554382913,2019-06-10T00:30:15Z
26,50.5110763501,164.8702432048,20208880.4931857400,2019-06-10T00:30:15Z
27,18.3279599733,118.8468496801,19995898.1743654571,2019-06-10T00:30:15Z
28,-32.8155624825,25.8169528693,19817176.7646256983,2019-06-10T00:30:15Z
